movieId,personId
tt0117438,nm0000165
tt0117500,nm0000881
tt0117509,nm0525303
tt0117571,nm0000127
tt0117589,nm0005139
tt0117631,nm0382956
tt0117665,nm0001469
tt0117666,nm0000671
tt0117705,nm0701592
tt0117731,nm0000408
tt0117765,nm0000921
tt0117802,nm0510731
tt0117887,nm0000158
tt0117913,nm0001708
tt0117918,nm0005421
tt0117951,nm0000965
tt0117998,nm0000957
tt0118548,nm0000142
tt0118571,nm0000583
tt0118583,nm0000466
tt0118607,nm0000229
tt0118615,nm0515891
tt0118617,nm0089940
tt0118617,nm0325776
tt0118655,nm0005366
tt0118688,nm0001708
tt0118689,nm0809321
tt0118694,nm0939182
tt0118715,nm0001054
tt0118715,nm0001053
tt0118749,nm0000759
tt0118771,nm0609236
tt0118789,nm0001252
tt0118799,nm0000905
tt0118842,nm0003620
tt0118843,nm0001437
tt0118849,nm0006498
tt0118880,nm0922346
tt0118883,nm0001149
tt0118884,nm0000709
tt0118887,nm0003506
tt0118928,nm0002044
tt0118929,nm0001639
tt0118954,nm0000095
tt0118971,nm0000431
tt0118972,nm0001587
tt0118998,nm0858525
tt0119008,nm0001565
tt0119051,nm0848414
tt0119081,nm0027271
tt0119094,nm0000247
tt0119099,nm0387706
tt0119116,nm0000108
tt0119137,nm0562645
tt0119164,nm0146341
tt0119167,nm0359734
tt0119173,nm0000631
tt0119174,nm0000399
tt0119177,nm0629272
tt0119190,nm0918873
tt0119217,nm0001814
tt0119223,nm0190859
tt0119229,nm0000786
tt0119256,nm0000759
tt0119282,nm0166256
tt0119282,nm0615780
tt0119303,nm0331532
tt0119345,nm0318947
tt0119349,nm0000487
tt0119395,nm0001994
tt0119396,nm0000233
tt0119468,nm0001219
tt0119488,nm0000436
tt0119528,nm0001723
tt0119558,nm0001490
tt0119567,nm0000229
tt0119643,nm0000976
tt0119654,nm0001756
tt0119675,nm0868219
tt0119698,nm0594503
tt0119707,nm0502954
tt0119715,nm0893659
tt0119738,nm0389591
tt0119807,nm0644203
tt0119822,nm0000985
tt0119874,nm0001460
tt0119925,nm0000126
tt0119978,nm0000338
tt0120032,nm0592400
tt0120053,nm0637518
tt0120082,nm0000127
tt0120102,nm0000269
tt0120148,nm0398185
tt0120157,nm0027271
tt0120177,nm0228147
tt0120179,nm0000957
tt0120184,nm0001469
tt0120188,nm0751102
tt0120201,nm0000682
tt0120324,nm0000600
tt0120338,nm0000116
tt0120347,nm0006854
tt0120363,nm0005124
tt0120363,nm0105169
tt0120363,nm0881279
tt0120382,nm0001837
tt0120399,nm0000231
tt0120434,nm0450387
tt0120461,nm0413875
tt0120484,nm0178997
tt0120586,nm0443411
tt0120587,nm0201509
tt0120587,nm0426333
tt0120587,nm0349183
tt0120591,nm0000881
tt0120601,nm0005069
tt0120611,nm0635759
tt0120616,nm0814085
tt0120623,nm0005124
tt0120623,nm0004056
tt0120630,nm0520485
tt0120630,nm0661910
tt0120631,nm0855035
tt0120632,nm0797869
tt0120647,nm0001460
tt0120655,nm0003620
tt0120657,nm0001532
tt0120660,nm0001716
tt0120663,nm0000040
tt0120667,nm1103162
tt0120669,nm0000416
tt0120679,nm0853380
tt0120681,nm0400436
tt0120681,nm0400441
tt0120685,nm0000386
tt0120686,nm0001060
tt0120689,nm0001104
tt0120693,nm0205542
tt0120694,nm0591171
tt0120731,nm0868153
tt0120735,nm0005363
tt0120737,nm0001392
tt0120738,nm0394280
tt0120744,nm0908824
