movieId,title,year,runtimeMinutes,averageRating,numVotes
tt0111161,The Shawshank Redemption,1994,142,9.3,3181375
tt0468569,The Dark Knight,2008,152,9.1,3160664
tt1375666,Inception,2010,148,8.8,2810355
tt0137523,Fight Club,1999,139,8.8,2600182
tt0816692,Interstellar,2014,169,8.7,2519775
tt0109830,Forrest Gump,1994,142,8.8,2491441
tt0110912,Pulp Fiction,1994,154,8.8,2430748
tt0133093,The Matrix,1999,136,8.7,2242930
tt0068646,The Godfather,1972,175,9.2,2222007
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,2202534
tt0167260,The Lord of the Rings: The Return of the King,2003,201,9.0,2160726
tt0114369,Seven,1995,127,8.6,2016295
tt1345836,The Dark Knight Rises,2012,164,8.4,1990025
tt0167261,The Lord of the Rings: The Two Towers,2002,179,8.8,1953339
tt1853728,Django Unchained,2012,165,8.5,1879113
tt0172495,Gladiator,2000,155,8.5,1845477
tt0993846,The Wolf of Wall Street,2013,180,8.2,1782416
tt0361748,Inglourious Basterds,2009,153,8.4,1779045
tt0102926,The Silence of the Lambs,1991,118,8.6,1719556
tt0372784,Batman Begins,2005,140,8.2,1710316
tt7286456,Joker,2019,122,8.3,1689370
tt1130884,Shutter Island,2010,138,8.2,1642365
tt0120815,Saving Private Ryan,1998,169,8.6,1635423
tt0482571,The Prestige,2006,130,8.5,1584166
tt0108052,Schindler's List,1993,195,9.0,1582959
tt0076759,Star Wars: Episode IV - A New Hope,1977,121,8.6,1567184
tt0120689,The Green Mile,1999,189,8.6,1558381
tt0848228,The Avengers,2012,143,8.0,1555715
tt0407887,The Departed,2006,151,8.5,1551393
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,1501961
tt0499549,Avatar,2009,162,7.9,1495336
tt0071562,The Godfather Part II,1974,202,9.0,1492734
tt0088763,Back to the Future,1985,116,8.5,1450116
tt4154796,Avengers: Endgame,2019,181,8.4,1441760
tt0209144,Memento,2000,113,8.4,1432958
tt0120338,Titanic,1997,194,8.0,1389987
tt0099685,GoodFellas,1990,145,8.7,1388572
tt0120382,The Truman Show,1998,103,8.2,1368791
tt4154756,Avengers: Infinity War,2018,149,8.4,1367950
tt2015381,Guardians of the Galaxy,2014,121,8.0,1361747
tt0110413,Léon: The Professional,1994,110,8.5,1349006
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,1322533
tt0910970,WALL·E,2008,98,8.4,1318052
tt0266697,Kill Bill: Vol. 1,2003,111,8.2,1304963
tt0103064,Terminator 2: Judgment Day,1991,137,8.6,1281880
tt0169547,American Beauty,1999,122,8.3,1278495
tt0120586,American History X,1998,119,8.5,1271490
tt0110357,The Lion King,1994,88,8.5,1256214
tt1431045,Deadpool,2016,108,8.0,1251533
tt0434409,V for Vendetta,2005,132,8.1,1245115
tt0114814,The Usual Suspects,1995,106,8.5,1236975
tt0264464,Catch Me If You Can,2002,141,8.1,1234408
tt1049413,Up,2009,96,8.3,1233489
tt0081505,The Shining,1980,146,8.4,1223167
tt0371746,Iron Man,2008,126,7.9,1222317
tt0119217,Good Will Hunting,1997,126,8.4,1213745
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,1207420
