personId,name,birthYear,primaryProfession
nm1436693,A.R. Murugadoss,1974,writer
nm0451148,Aamir Khan,1965,actor
nm0086431,Aaron Blaise,1968,animation_department
nm5278146,Aaron Hann,,director
nm1739338,Aaron Horvath,1980,director
nm1823264,Aaron Moorhead,1987,producer
nm1887480,Aaron Nee,,animation_department
nm0773689,Aaron Schneider,,director
nm0783536,Aaron Seltzer,1974,writer
nm0815070,Aaron Sorkin,1961,writer
nm0463359,Abby Kohn,1971,writer
nm0444244,Abdellatif Kechiche,1960,writer
nm0001206,Abel Ferrara,1951,director
nm2391751,Abhishek Pathak,1987,writer
nm1437652,Adam B. Stein,,director
nm0111845,Adam Brooks,,writer
nm0254178,Adam Elliot,1972,director
nm1697112,Adam Green,1975,director
nm0570912,Adam McKay,1968,producer
nm1519639,Adam Nee,,actor
nm1726691,Adam Randall,1982,director
nm0733263,Adam Robitel,,director
nm0788202,Adam Shankman,1964,producer
nm1417392,Adam Wingard,1982,director
nm4205110,Adesh Prasad,,producer
nm4816401,Adil El Arbi,1988,director
nm0159147,Aditya Chopra,1971,producer
nm2336554,Aditya Dhar,1983,writer
nm0344496,Adrian Grunberg,,director
nm0001490,Adrian Lyne,1941,director
nm2937122,Adrian Molina,,miscellaneous
nm0791248,Adrienne Shelly,1966,actress
nm2378914,Advait Chandan,1987,director
nm4139472,Afonso Poyart,1979,director
nm3675099,Ajay Singh,,director
nm0000041,Akira Kurosawa,1910,writer
nm0326040,Akiva Goldsman,1962,producer
nm1676223,Akiva Schaffer,1977,writer
nm0149260,Alain Chabat,1958,writer
nm0001587,Alan J. Pakula,1928,producer
nm0538320,Alan Mak,1965,director
nm0000570,Alan Parker,1944,director
nm0693561,Alan Poul,,producer
nm0851930,Alan Taylor,1965,director
nm0400436,Albert Hughes,1972,producer
nm0073688,Alec Berg,1969,producer
nm0002159,Alejandro Agresti,1961,director
nm0024622,Alejandro Amenábar,1972,writer
nm0327944,Alejandro G. Iñárritu,1963,director
nm0423524,Alejandro Jodorowsky,1929,writer
nm1920049,Alejandro Monteverde,1977,director
nm5507490,Aleksander Bach,1980,director
nm1868917,Alessandro Carloni,,animation_department
nm0307497,Alex Garland,1970,writer
nm0476064,Alex Kurtzman,1973,producer
nm0001639,Alex Proyas,1963,director
nm3659547,Alex Scharfman,,producer
nm0668247,Alexander Payne,1961,producer
nm0936838,Alexander Witt,1952,camera_department
nm0014960,Alexandre Aja,1978,director
nm0734319,Alexandre Rockwell,1956,director
nm0190859,Alfonso Cuarón,1961,writer
nm0004234,Alfonso Gomez-Rejon,,producer
nm0000033,Alfred Hitchcock,1899,director
nm1804614,Ali Abbas Zafar,1982,writer
nm4389150,Ali Abbasi,1981,director
nm0340958,Alister Grierson,,director
nm0610496,Allan Moyle,1947,director
nm0002339,Allen Coulter,1945,director
nm0400441,Allen Hughes,1972,director
nm0025978,Allison Anders,1954,director
nm3809021,Alper Caglar,1981,producer
nm8552307,Amit Joshi,,writer
nm2279430,Amit Ravindernath Sharma,1978,director
nm0002132,Amy Heckerling,,writer
nm1628153,Anand Gandhi,1980,writer
nm0875793,Anand Tucker,1963,producer
nm0421314,Anders Thomas Jensen,1972,writer
nm0036349,Andrea Arnold,1961,actress
nm0464846,Andrei Konchalovsky,1937,writer
nm0001789,Andrei Tarkovsky,1932,miscellaneous
nm0011470,Andrew Adamson,1966,producer
nm0000921,Andrew Bergman,1945,writer
nm0001112,Andrew Davis,1946,director
nm0231596,Andrew Dominik,1967,director
nm1497918,Andrew Douglas,,director
nm0281598,Andrew Fleming,1965,director
nm0354091,Andrew Haigh,,director
nm1285613,Andrew Jarecki,1963,music_department
nm1157527,Andrew Jay Cohen,1977,writer
nm0554249,Andrew Marton,1904,director
nm0629272,Andrew Niccol,1964,writer
nm0004056,Andrew Stanton,1965,writer
nm1168657,Andrey Zvyagintsev,1964,director
nm0005647,Andrzej Bartkowiak,,cinematographer
nm0782900,Andrzej Sekula,,cinematographer
nm0958558,Andrzej Zulawski,1940,writer
nm0004217,André Øvredal,1973,director
nm0275698,Andy Fickman,,producer
nm0615592,Andy Muschietti,1973,producer
nm0785227,Andy Serkis,1964,actor
nm0855035,Andy Tennant,1955,producer
nm0063357,Anees Bazmee,1962,writer
nm3792134,Aneesh Chaganty,,writer
nm0000487,Ang Lee,1954,director
nm3924049,Angel Manuel Soto,1983,director
nm1286340,Angela Robinson,1971,producer
nm0001401,Angelina Jolie,1975,actress
nm0533691,Angus MacLane,1975,animation_department
nm2287772,Aniruddha Roy Chowdhury,1965,director
nm1349818,Anna Boden,1979,director
nm0283816,Anna Foerster,,director
nm0447695,Anna Kendrick,1985,actress
nm0417708,Annabel Jankel,1955,director
nm0281945,Anne Fletcher,1966,miscellaneous
nm2377436,Anouk Whissell,,director
nm2285536,Anthony Maras,,producer
nm0005237,Anthony Minghella,1954,script_department
nm0751577,Anthony Russo,1970,producer
nm0820934,Anthony Stacchi,,animation_department
nm0298807,Antoine Fuqua,1965,producer
nm0179221,Anton Corbijn,1955,director
nm1290515,Antonio Campos,1983,producer
nm0388817,Antony Hoffman,,director
nm1025280,Anubhav Sinha,1965,director
nm1397301,Anurag Basu,1974,director
nm0440604,Anurag Kashyap,1972,producer
nm13040033,Aradhana Sah,,writer
nm4170048,Ari Aster,1986,producer
nm0284369,Ari Folman,1962,writer
nm1847738,Ari Sandel,,director
nm1413364,Ariel Schulman,1981,writer
nm1033517,Ariel Vromen,1973,director
nm6674331,Arkasha Stevenson,,director
nm0406334,Armando Iannucci,1963,writer
nm0828245,Art Stevens,1915,animation_department
nm0204190,Arthur Davis,1905,director
nm0002137,Arthur Hiller,1923,director
nm0671957,Arthur Penn,1922,director
nm1300606,Asger Leth,,writer
nm1410815,Asghar Farhadi,1972,writer
nm0105169,Ash Brannon,1969,writer
nm0332950,Ashutosh Gowariker,1964,director
nm0438090,Asif Kapadia,1972,producer
nm5961051,Atlee,1983,writer
nm0000382,Atom Egoyan,1960,director
nm0920108,Audrey Wells,1960,script_department
nm2127315,Autumn de Wilde,1970,director
nm1148550,Ava DuVernay,1972,writer
nm2209781,Ayan Mukerji,1983,director
nm0619836,Babak Najafi,1975,director
nm2040704,Balakrishnan Thevar,,assistant_director
nm0466349,Baltasar Kormákur,1966,producer
nm1802294,Banjong Pisanthanakun,1979,writer
nm2612991,Banksy,,art_department
nm2171633,Baran bo Odar,1978,writer
nm1705578,Barbara Bialowas,1978,director
nm0775447,Barbet Schroeder,1941,director
nm0176905,Barry Cook,1958,director
nm1503575,Barry Jenkins,1979,producer
nm0001469,Barry Levinson,1942,producer
nm0001756,Barry Sonnenfeld,1953,producer
nm0294505,Bart Freundlich,1970,director
nm1717925,Bart Layton,,producer
nm0525303,Baz Luhrmann,1962,writer
nm0452319,Beeban Kidron,1961,director
nm0000255,Ben Affleck,1972,producer
nm1229520,Ben Falcone,1973,actor
nm3262170,Ben Howling,,producer
nm1414582,Ben Palmer,,director
nm0789313,Ben Sharpsteen,1895,animation_department
nm0001774,Ben Stiller,1965,producer
nm1296554,Ben Wheatley,1972,director
nm1587778,Ben Young,,director
nm0950226,Ben Younger,1972,director
nm1022455,Benh Zeitlin,1982,director
nm0587955,Bennett Miller,1966,director
nm1509478,Benny Safdie,1986,writer
nm0741262,Bernard Rose,1960,director
nm0000934,Bernardo Bertolucci,1941,writer
nm0926919,Bernhard Wicki,1919,actor
nm0858525,Betty Thomas,1947,actress
nm0074426,Bibo Bergeron,1965,art_department
nm4263190,Bilall Fallah,1986,director
nm0174374,Bill Condon,1955,director
nm0004886,Bill Duke,1943,actor
nm0000200,Bill Paxton,1955,actor
nm0730860,Bill Roberts,1899,director
nm0000671,Billy Bob Thornton,1955,actor
nm0712753,Billy Ray,,writer
nm0000697,Billy Wilder,1906,writer
nm0825407,Björn Stein,1970,director
nm0001175,Blake Edwards,1922,writer
nm1720336,Blessy,,assistant_director
nm3102998,Bo Burnham,1990,actor
nm0919514,Bo Welch,1951,production_designer
nm0945026,Boaz Yakin,1965,writer
nm0163706,Bob Clark,1939,director
nm0002080,Bob Fosse,1927,miscellaneous
nm0644022,Bob Odenkirk,1962,writer
nm2130108,Bob Persichetti,1970,director
nm0677037,Bob Peterson,1961,actor
nm0125803,Bobby Farrelly,1958,producer
nm0001281,Bobcat Goldthwait,1962,director
nm0094435,Bong Joon Ho,1969,writer
nm1108556,Boots Riley,1971,writer
